     # #  # ##   #   #       #       #   #   #   #         # ##    #   # #  #     ###     ##  ## #  
 # #     #     #   # # ## ##   ## ##   #   ##  #   ########     # #  #     #  ###  #  ###   #      #
 #  # # #  ###### #    # #  # # #   ## ####   # ## #      # ## ###  #  # ##  #   #   #   ##  # ###  
  # #  ## #    # #  ####   #    ###   #     # # #  # # ##   #   #  #  ##    ### # # #  ##   #  # # #
 #  # #   # ## #  ##    # # ## #    ##  ###  #  # ##  #  ### # ## #  #  #### #     #  # # ##  Z  #  
  #  #  ##   # ##    ## # #   #  ## #  #   ##  #    #  #     # #  # # # #      ###   #    #  # #  # 
# ## # ##  # #   # ##   # # #   #  #  #  #    #  ##Z##   # ##  # #  #     # ###    # # ### # #   ## 
#  # #   ##  ###   #  #   # ### # ## #  ######  #   # # ###   ##  #  # # # #   # ## #  #     ## #   
  ##  ##  # #   # # #  ####   #   #  # # #   # #  #   #  #  ##   # # # # # # #      # #  ## #    # #
 #   # ##   # #  ##   #    ##  ## # #  Z # # # # # # ###  #  # ### # # # #    #######  #  #  # #   #
 # ##    ###  # #   ##  ## #  # # # ##   # # #   # #  ## # # # #   #  ## # ## #       # #  #  #  ## 
 #    ##   ##  #  ##   # #   ##   #  ## #  # ## #   #      #    # ###Z#  # # #  ######   # ## # #   
  #Z##   #  ##  # #  ##   # #   ## #  # # ##   ## # ### ##  ###   ### # ## # # #     # #    # #  ## 
# #    # ##  ##   # ### #  # # #   ## # # #  #    #    ## ##   ##  #  # #    #  ## ###  ####   #    
### # #    #  # ###  #  # #  #   ##   # # # #Z#### # #     # # #  ## #  # # ## #   #   #   # # #### 
#   # # ## ###  #  #  ##    ### #   ### #  # #      # ####   # # #   ## ## # Z # # # # # #   ##   # 
  ## #    #    #  # #  # # ###  # ##    # #   ## ###      # #  # # ## #    # ##   #   #  # #  # #  #
 ##    # #  # ###    # # #  #  #  #  ## #   # ##   # Z# ####  # #  #    # #  # ##   #  #  # # #  #  
 #  ###  # # # #  ## # # ###  ###   ###  ## #   ## #  #   #  #   # # # #  # ##   #Z# #  #   ## # ## 
 # #   # # #    #   #  #     # # ### #  #  #### #    # ## # #  # #  ## # ##    # #   # # ##       # 
  #  #  #    ## # # # #  ## #      #   # #  #   # ###     #   #   #   #    ### # # #  #    ###### # 
 #  # # # ### # # # # # #  #  ## #   ##   # # ##    # # # Z### ## ###  ###   ##  # ## # ##      # # 
   ## #  #    #   ##  #  # # ## # ###   #   #  # #Z # ## #   #  #     #   # #   #   #    ###Z##  ## 
 ##   ##   ### ##  # #  #  #         #Z# # # #  # # #     ##  # #### #  #   # # # #  # ##   #  #    
 #  #   ##      ## # # ###  #### ## #    #   ##    #  ###   ##      #  # ## #  #   #  #   # ##  ### 
  #  Z#  #### ##   # #  ###    Z  ##  # #  #  ####Z##   # #    # ## Z #     # #  #  #   ###   #     
# ##   #    # #  ##   #  #  ##  #    ##   #  #   #   ##  # #### #Z ##  # ###  # #  # ###   # #  ####
     ## ## #  # #  # ## #  #  #Z ####  ###  #  #  ##  ##   #      #  # #   # #   ##      # # # ##   
#### #    #  #    #  #  # #  #  ##   #    #  #  #   #   ##  # #### # #  ## #  ##    #######  # #  # 
  Z##  ## Z ## ##  #  #    #   #   #   # #  # #  ##  # #  # # #    Z   #   ##   # # #    #  #  # #  
 #    # # #    # #  # # ###  ##  ## ####   #   #  # #   #   # # # # # # # #  # #  ##  ##  #  ### # #
  ####  # # ###   # #  #   # #  #       # #  #   #  ###  # #  #  # # ##     ##  ##   # # ###     #  
 #    #   ##    #  # #   #  #  ## # ## # ## # #####   # #    # # #      #Z### # ## ##  #  #  # #  # 
 # ###  ##   # # #   # #  # # #   #   #     #    # ## # Z#####   # # # # #    #    # #  # #### ###  
 #    # #  ####    ##  ###  # # Z# ## # ## # # #    #   #     ##  # #    # # # ####   # #     #    #
  ###    # # #  ###   #    ##  ##     #   #   # # #  # #  # # # #    # ##  #   #    #    ####   ##  
#    # #   # # ##  ###  ##   #    # #  ## # #    #  #  # # #     ### ##   ### #  ### ### #   ###### 
  ## #  ###  #   #     # # ##  # #   #  # # # ## ## # #  #  ####   #    ## #    Z      #   #    ### 
 #    ##   #  ## ## # #   #   # # ## #Z## #  # #  # #  #  #     ## # ## #   # # #### ## # # ###  #  
 # # #   #  #     # # # #   ###     #      #    # #  #  #  # ### #  ##  # #  #       #   #     #   #
 #  #  ##  # # ## #  #   ###    # #   # # # # # # # ## #  #       #   # #  # #Z## ##   #  ####  ### 
  #   ##  #   ###  #   ##   # ##   ##### #    # # #    # # #### #  ##  #  ##     # ##### #    #     
 # ####  #  #  #  #####   #   # ###   #    ###  #  # ##  #     #  #  # # #  #### #       # # #  ### 
   #    ###  # # # Z    ## # #    # #   ###   # # #    #   ###  #  # #    # #  Z  # #####  #  # #   
## # Z#  #  #  # #   ####  # # ## #  #### # #  ## # ### # #   #  #    ###     ## #  #    #  # # # # 
 # #   ##  #  ##  # #     #  # #   #      #  #    ###     # #  #  ## #   ## ##   # #  ## # #  ##  # 
    ##    #  ## # #  ## ##  #  # # ### ## # #  ###    ### #  #  #    # #   #   #Z#  #  #   # #   #  
 ##### ## # #   #  # #   # ## #   #   #   #  ##    # #   # #  # # # #  ##Z # ##   # # #  ##  # ##  #
#   #    #  ## ## #  # # # #   # #  # # ## #  # ##Z #  # #  # #  ## # #  #   #Z #   # # #   ## # # #
  # #####  #        # #    # # #   ## # #   # #   # # ## # #   # #  #  #  ###  #####  # # ##   #    
 #        #  # # ###   # # # #  ###   #  # ##  ##  #  #     # ##  #  #  #    #  #   # # #  # ##  ## 
 # ### ###  #  ##    #  # ##  ##  # #  # #   #  ## #Z#  # #  Z# #  #  #  # #  # # #  #   #   #  ### 
  #   #   ##  #   ### #     #    #   # # ## ###    #  # ### ##    ###  # # ## # #  # # #  # #  # #  
 #  # ###    #  ##    #####  Z## # ##  #  #  # # ## #  #   #   # # #  #  #  # #  # # #  #  #  #   ##
 # ##    # # # # ## #      #   # #   ##  #  #  ##    #   #  # ## #  ##  # # # # #  #  # # #  #  #   
     ###  #  # #  #  #### ## # #  ##  # #  #  #   #S#  ## #  #   ##    #     #   # # ##  #  #  #### 
# # #   # # ##  #   #    #   #  #   #   # #  #  ##  # #   ##  # # ## ##  ## #  #   #   # # ## # #   
